NameSup,CueSup,TestSup,AnswerSup,NameSub,CueSub,TestSub,AnswerSub,SupraTrials.thisRepN,SupraTrials.thisTrialN,SupraTrials.thisN,SupraTrials.thisIndex,SupraTests.thisRepN,SupraTests.thisTrialN,SupraTests.thisN,SupraTests.thisIndex,DistractorTrials.thisRepN,DistractorTrials.thisTrialN,DistractorTrials.thisN,DistractorTrials.thisIndex,SubliTrials.thisRepN,SubliTrials.thisTrialN,SubliTrials.thisN,SubliTrials.thisIndex,SubliTests.thisRepN,SubliTests.thisTrialN,SubliTests.thisN,SubliTests.thisIndex,polygon1.started,polygon1.stopped,welcome.started,welcome.stopped,polygon.started,polygon.stopped,ForenameSup.started,ForenameSup.stopped,CueSup1.started,CueSup1.stopped,BlankSup.started,BlankSup.stopped,polygon_2.started,polygon_2.stopped,dis1.started,dis1.stopped,polygon_3.started,polygon_3.stopped,instruction.started,instruction.stopped,dis1key.keys,dis1key.rt,dis1key.started,dis1key.stopped,polygon_4.started,polygon_4.stopped,suptest.started,suptest.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,distractor1.started,distractor1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_7.started,polygon_7.stopped,textphase2.started,textphase2.stopped,polygon_6.started,polygon_6.stopped,ForenameSub.started,ForenameSub.stopped,Mask1.started,Mask1.stopped,Cue.started,Cue.stopped,Mask2.started,Mask2.stopped,blank1.started,blank1.stopped,polygon_8.started,polygon_8.stopped,SubTest.started,SubTest.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,age,sex,occupation,date,expName,psychopyVersion,frameRate,
Wendy,FORGET,,,,,,,0,12,12,9,,,,,,,,,,,,,,,,,,,,,131.01723770001263,None,131.01723770001263,132.2246065000072,132.2136986000114,133.4252933000098,133.4252933000098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Pablo,REMEMBER,,,,,,,0,13,13,10,,,,,,,,,,,,,,,,,,,,,134.40567560000636,None,134.40567560000636,135.62409219999972,135.57823750001262,136.78120540000964,136.78120540000964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
North,FORGET,,,,,,,0,14,14,17,,,,,,,,,,,,,,,,,,,,,137.8300331000064,None,137.8300331000064,139.02422650001245,139.0142646000022,140.2210946000123,140.2126133999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Julie,REMEMBER,,,,,,,0,15,15,0,,,,,,,,,,,,,,,,,,,,,141.20240639999975,None,141.20240639999975,142.41019370000868,142.39088570000604,143.59763200000452,143.59763200000452,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Venus,REMEMBER,,,,,,,0,16,16,8,,,,,,,,,,,,,,,,,,,,,144.63670250000723,None,144.63670250000723,145.8383642000117,145.82909280000604,147.022813100004,147.022813100004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Lucca,FORGET,,,,,,,0,17,17,19,,,,,,,,,,,,,,,,,,,,,148.01675950000936,None,148.01675950000936,149.22617069999978,149.2063666000031,150.41388920000463,150.41388920000463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Nicki,FORGET,,,,,,,0,18,18,3,,,,,,,,,,,,,,,,,,,,,151.4531042000017,None,151.4531042000017,152.67392650000693,152.64671369999996,153.85604940001213,153.84656180000457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Paris,REMEMBER,,,,,,,0,19,19,4,,,,,,,,,,,,,,,,,,,,,154.8236920000054,None,154.8236920000054,156.03991010000755,156.0155070000037,157.24589370000467,157.22387430000526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.1961347000033,None,158.1961347000033,None,160.19619610000518,None,160.19619610000518,None,space,1.3880917000060435,160.19619610000518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Kourt,o,,,,,,,,,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.7289055000001,None,161.7289055000001,None,o,1,1.756339100000332,161.7289055000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Tobie,o,,,,,,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.5289463000081,None,163.5289463000081,None,n,0,0.219208599999547,163.5289463000081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Roger,n,,,,,,,,,0,2,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.80156700000225,None,163.80156700000225,None,o,0,0.10859299999719951,163.80156700000225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Pablo,o,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.9508729000081,None,163.9508729000081,None,n,0,0.11064880000776611,163.9508729000081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Lucca,o,,,,,,,,,0,4,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.10604949999833,None,164.10604949999833,None,o,1,0.08008189999964088,164.10604949999833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Louis,n,,,,,,,,,0,5,5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.2665330000018,None,164.2665330000018,None,n,1,0.033411500000511296,164.2665330000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Kyler,n,,,,,,,,,0,6,6,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.34355160000268,None,164.34355160000268,None,o,0,0.09566990000894293,164.34355160000268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Nicki,o,,,,,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.50751360000868,None,164.50751360000868,None,n,0,0.040173900008085184,164.50751360000868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Venus,o,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.58803199999966,None,164.58803199999966,None,o,1,0.07830949999333825,164.58803199999966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Wilma,n,,,,,,,,,0,9,9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.72899440000765,None,164.72899440000765,None,n,1,0.051390900000114925,164.72899440000765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,Katie,n,,,,,,,,,0,10,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.80848269999842,None,164.80848269999842,None,o,0,0.10142769999220036,164.80848269999842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
,,North,o,,,,,,,,,0,11,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.94519220000075,None,164.94519220000075,None,n,0,0.09794639999745414,164.94519220000075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
